source,target,year,Tag
pair,sample,1990,no
accumulate,similarity,1990,no
sample,sequence,1990,no
adaptive,guidance,1990,no
adaptive,robot,1990,no
guidance,robot,1990,no
access,instruction,1990,no
answer,load,1990,no
communication,electric,1990,no
operation,processing_device,1990,no
address,wave,1990,no
buffer,wave,1990,no
book,evaluate,1990,no
feed,pair,1990,no
evaluate,index,1990,no
factor,load,1990,no
category,condition,1990,no
associative,problem,1990,no
distribution,load,1990,no
evaluate,response,1990,no
message,opinion,1990,no
connection,parallel,1990,no
category,product,1990,no
item,relationship,1990,no
decode,mode,1990,no
discharge,work,1990,no
execution,module,1990,no
product,update,1990,no
instruction,language,1990,no
arithmetic,decode,1990,no
connection,decode,1990,no
degree,similarity,1990,no
data,plurality,1990,no
data,transfer,1990,no
interface,write,1990,no
material,member,1990,no
buffer,synapsis,1990,no
connection,float,1990,no
distribution,language,1990,no
category,portion,1990,no
period,person,1990,no
person,speak,1990,no
angle,navigation,1990,no
automate,transfer,1990,no
diagnostic,equipment,1990,no
flight,subsystem,1990,no
book,design,1990,no
characteristic,secure,1990,no
binary,distribution,1990,no
condition,road,1990,no
mode,recognize,1990,no
pressure,recognize,1990,no
spectral,waveform,1990,no
classification,decode,1990,no
distribution,portion,1990,no
spectral,transform,1990,no
member,robot,1990,no
net,pair,1990,no
neural_network,output,1990,no
node,value,1990,no
link,value,1990,no
strength,value,1990,no
speech,word,1990,no
communication,device,1990,no
plant,process,1990,no
dictionary,recognition,1990,no
linear,standard,1990,no
feedback,network,1990,no
point,waveform,1990,no
processor,register,1990,no
control,controller,1990,no
pattern,reference,1990,no
learn,neural_network,1990,no
truth,value,1990,no
circuit,signal,1990,no
learning,output,1990,no
gate,line,1990,no
azimuth,point,1990,no
feature,quantity,1990,no
control,control_system,1990,no
detect,position,1990,no
input,learn,1990,no
road,state,1990,no
parallel,register,1990,no
artificial_neural,individual,1990,no
codebook,individual,1990,no
acoustic,switch,1990,no
acoustic,transmission,1990,no
guidance,module,1990,no
dictionary,index,1990,no
equipment,message,1990,no
detection,sentence,1990,no
region,similarity,1990,no
candidate,speech_recognition,1990,no
associative,sample,1990,no
associative,sequence,1990,no
access,operation,1990,no
instruction,operation,1990,no
artificial_neural,storage,1990,no
data,storage,1990,no
processing_device,storage,1990,no
response,storage,1990,no
candidate,pair,1990,no
opinion,symbol,1990,no
accumulate,controller,1990,no
class,sample,1990,no
card,dictionary,1990,no
index,table,1990,no
number,storage,1990,no
execution,table,1990,no
arithmetic,factor,1990,no
arithmetic,load,1990,no
angle,path,1990,no
flight,path,1990,no
controller,graphic,1990,no
instruction,procedure,1990,no
opinion,text,1990,no
number,telephone,1990,no
arithmetic,truth,1990,no
arithmetic,stage,1990,no
shift,stage,1990,no
channel,engine,1990,no
analysis,relationship,1990,no
characteristic,item,1990,no
address,product,1990,no
mode,product,1990,no
buffer,interface,1990,no
